video_id,summary,category,keywords,color_composition,creator_demographics,sentiment,tone,political_leaning,creator_demographic
7285324334934035745,"The video shows a group of people observing a demonstration of a unique piece of exercise equipment. A woman in a black suit is seen using the machine, which appears to be designed for physical therapy or fitness. The audience watches her movements closely, with some individuals taking photos or recording the event. The setting seems to be indoors, possibly at a trade show or exhibition. The atmosphere is curious and attentive.",Fitness & Health,"exercise, equipment, demonstration, audience, observation, indoor, trade show, exhibition",Colorful,Unknown,Neutral,Curious,Neutral,
7374631394108181806,A woman is packing her belongings while narrating her story about her husband being deported to Mexico after living in the USA for 24 years. She mentions their daughter and the challenges they face due to his deportation.,People & Blogs,"packing, husband, deportation, Mexico, USA, daughter, challenges",Naturalistic,Unknown,Negative,Sadness,Neutral,
7273897683918621994,"The video showcases a football game featuring players in yellow and blue uniforms, with a focus on player number 9, who is seen running, throwing, and celebrating. The stadium is filled with spectators, creating an energetic atmosphere. The audio includes a song with lyrics about love and connection.",Sports,"football, game, player, stadium, spectators, celebration, lyrics, love, connection",Colorful,Unknown,Positive,Cheerful,Neutral,
7374137745364602155,"The video features two individuals in a car, discussing dating preferences. The first person, a woman, advises her son to date someone who wants him, while the second person, a man, responds that he prefers someone of his type. The conversation appears to be light-hearted and humorous.",Relationship,"date, mom, son, advice, dating, preference, type",Colorful,Unknown,Neutral,Casual,Neutral,
7368846954471640362,The video features a young woman with long red hair discussing the issue of influencers prioritizing financial gain over genuine activism. She criticizes the lack of solidarity among oppressed groups and the hypocrisy of influencers who use their platforms for personal gain rather than supporting marginalized communities. The speaker mentions Dylan Mulvaney as an example of someone who initially focused on trans rights but later abandoned the cause for financial success. The video emphasizes the importance of recognizing the interconnectedness of different struggles and the need to hold influencers accountable for their actions.,Politics,"influencer, activism, solidarity, oppression, Dylan Mulvaney, financial gain, hypocrisy, accountability",Naturalistic,Unknown,Negative,Angry,Left,
7362611852360174881,"The video features a nighttime driving scene with a red sports car on a highway. The text overlay in Russian discusses themes of love, betrayal, and disbelief. The driver appears to be reflecting on past relationships and feelings of loneliness. The overall tone is melancholic and introspective.",Entertainment & Shows,"love, betrayal, loneliness, night, driving, highway, Russian text",Dark,Unknown,Negative,Melancholic,Neutral,
7388205937036725537,"A person is sitting in a vehicle, wearing a blue jacket with 'Amazon' logo, trying to activate their Supacell power. They appear frustrated and confused, looking around and checking the device. The text overlay indicates they are having trouble activating the feature.",Autos & Vehicles,"Supacell, Amazon, vehicle, frustration, activation, troubleshooting",Colorful,Unknown,Negative,Frustrated,Neutral,
7349908267742743854,"The video features a man in a red shirt discussing Donald Trump's legal challenges, specifically his presidential immunity claim. He criticizes Trump's actions and statements, suggesting they undermine his defense team's efforts. The speaker mentions Trump's comments on Truth Social and his financial claims, questioning his credibility. The video includes text overlays highlighting key points of the discussion.",Politics,"Donald Trump, presidential immunity, legal team, Truth Social, election interference, Joe Biden, legal defense, financial claims",Colorful,Unknown,Negative,Angry,Right,
7108772250320473349,"The video showcases five unique activities to do on the Greek island of Paros, including hiking, visiting beaches, and exploring nature reserves. The speaker suggests having a meal in Lefkes, hiking to Prodromos, enjoying a natural mud mask at Kalogero beach, visiting a nudist beach, and exploring the Paros Butterfly Nature Reserve. The video ends with a request for feedback on creating a part two.",Travel & Events,"Paros, Greece, travel, activities, hiking, beaches, mud mask, nudist beach, butterfly reserve, Lefkes, Prodromos, Kalogero, Agios Fokas",Colorful,,Positive,Enthusiastic,Neutral,Unknown
7389277272009690401,"The video covers the arrival of migrants in Ashore after being picked up by a Border Force vessel. It includes footage of the boat arriving at the port, a Border Force vessel named 'BF Hurricane', and a statement from Home Secretary Yvette Cooper about the search for someone to lead the Border Security Command. The video also mentions Number 10's warning about a potential spike in migration journeys due to better weather.",News,"migrants, Ashore, Border Force, BF Hurricane, Home Secretary, Yvette Cooper, Border Security Command, migration, journey, weather",Naturalistic,Unknown,Neutral,Neutral,Center,
7346042702347406638,"The video follows a young man's journey as he travels to meet his best friend, Anya, in Berlin. He shares his experiences, including meeting a girl in New York City, going dog sledding in the Arctic Circle, and getting a makeover with Anya's help. The video captures moments of friendship, travel, and personal growth.",Travel & Events,"travel, adventure, friendship, makeover, dog sledding, Arctic Circle, Berlin, New York City, haircut, outfit, style",Colorful,Unknown,Positive,Cheerful,Neutral,
7362203819721166123,"The video shows pro-Palestinian protests at various universities, including Emory University and Indiana University Bloomington, where students are expressing their support for Palestinian rights. It includes footage of police detaining a protester and a group of children in Gaza sending messages of gratitude to student protesters. The video captures the solidarity between the students and the people they are fighting for.",Politics,"pro-Palestinian protests, student protests, Gaza, solidarity, university campuses, police detentions, messages of support",Colorful,Unknown,Positive,Cheerful,Left,
7386720277557742880,"The video showcases a gymnastics routine performed by a gymnast on the uneven bars at an indoor sports event. The gymnast, dressed in a blue leotard, executes various moves on the bars, including swings, flips, and handstands. The routine concludes with a dismount onto a padded mat. Spectators watch from the stands, and another gymnast in a similar outfit is seen waiting nearby. The setting appears to be a competitive gymnastics event, with a focus on athletic skill and performance.",Sports,"gymnastics, uneven bars, competition, sports, athlete, performance, routine, gymnast, leotard, audience, spectators",Colorful,,Positive,Enthusiastic,Neutral,Unknown
7368383778034601249,"The video shows a computer screen with a desktop interface featuring a virtual bookshelf filled with icons. The text overlay in German reads 'Freundin: Was hast du eig den ganzen tag gemacht? Ich: Aufgeräumt' (Friend: What did you do all day? Me: Cleaned). The background music is repetitive and playful, with lyrics about being in someone's bed. The tone is humorous and light-hearted.",Entertainment & Shows,"desktop, icons, bookshelf, German, cleaning, humor",Colorful,Unknown,Positive,Cheerful,Neutral,
7355525427160452385,"The video shows a woman performing on stage, singing and interacting with the audience. The text overlay suggests she points at someone in the crowd, creating a moment of excitement. The audience is lively, with many holding up their phones to record the event. The performer wears a black outfit and hat, and the stage is illuminated with bright lights.","Music, Singing, & Dancing","Beyonce, crowd, sing, point, audience, stage, performance, concert",Colorful,Unknown,Positive,Cheerful,Neutral,
7366011789085035809,"The video captures a political event where an elderly man, likely a prominent figure, is being honored by another man at a podium. The elderly man is seen holding a cane and receiving applause from the audience. The backdrop displays the CDU logo and slogans in German, emphasizing unity and strength. The speaker addresses the audience, expressing gratitude and pride in the party's achievements. The atmosphere is formal and respectful, highlighting the importance of the occasion.",Politics,"CDU, Germany, politics, elderly man, podium, applause, unity, strength, gratitude, pride, speech",Colorful,Unknown,Positive,Enthusiastic,Right,
7335427690708651272,"A woman is being interviewed on a city street about her thoughts on why some people may not be aware of their social environment. She speculates that it could be due to cultural differences, specifically mentioning the importance of honorifics in Korean culture. The interviewee appears thoughtful and reflective.",People & Blogs,"interview, social awareness, cultural differences, honorifics, Korea, elderly, assumptions",Naturalistic,Unknown,Neutral,Neutral,Neutral,
7345205332383108394,"The video covers the ongoing crisis in Haiti, where the government is collapsing, and gangs are taking control. The U.S. has deployed Marines to airlift embassy staff and support security forces, while urging a transitional government and elections. Kenya has sent police officers, but the deployment is delayed. The situation is described as a humanitarian crisis with the country descending into anarchy.",News,"Haiti, crisis, gangs, U.S., Marines, embassy, security, elections, Kenya, police, humanitarian, anarchy",Colorful,Unknown,Negative,Intense,Center,
7362157037511396613,"The video showcases the unboxing of cosmetics purchased from Korea and Victoria's Secret, highlighting the cost savings compared to local prices. The person expresses satisfaction with the products and their effectiveness. The video includes a comparison of prices between Korea and Ukraine, emphasizing the value of purchasing from Korea.",Beauty Care,"unboxing, cosmetics, Korea, Victoria's Secret, makeup, skincare, price comparison, discount, shopping",Colorful,,Positive,Enthusiastic,Neutral,Unknown
7383627859803393313,"The video discusses the political strategies of a candidate, analyzing their success in capitalizing on current events and societal issues. It mentions the 9/11 attacks, the burning of synagogues, and the role of immigrants in these events. The speaker suggests that the candidate did not need to make controversial statements but rather relied on the existing news cycle to gain support.",Politics,"Eric Zemmour, Le Pen, immigrants, synagogues, 9/11, political strategy, current events, controversy, political commentary",Naturalistic,Unknown,Neutral,Intense,Right,
